"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","55.144292221002","55.3180993322645","55.4277485730148","55.6034704040249","55.8336151504904","56.1446670348613","56.5289530446325","57.0380286578412","57.6302862907894","58.1854043392505","58.7160083160083","59.2434798589879","59.8704637265049","60.6447557768331","61.4806340905377","62.290133023376","63.1242898977453","63.9250075597218","64.5770010131712","65.1059875901603","65.459588203955","65.4369415647084","65.3426370471","65.44597201384","65.6084656084656","65.9032038173142","66.3202702497993","66.7770905830687","67.1724411370013","67.3066399124407","66.9444444444445","66.0992007386675","65.9075416313073","66.5549182755742","67.238598225668","68.0235119384762","68.8118691178622","69.4019274376417","69.7891869620948","70.030299330751","70.222721722122","70.3622451142482","70.4546167274704","70.5657998098152","70.6927593755754","70.7228720605496","70.6271055972648","70.4788048147088","70.2927523794664","70.0873467579619","70.0041917536773","70.0795575730694","70.1156517918081","70.0229829666562","69.8187599948532","69.5289772468196","69.1903050276598","68.8303862135957","68.4574197066264","68.0840473566324","67.7632220812971","67.5551886666844","67.3576556724481","67.0457981325033",
"Africa Eastern and Southern","AFE","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","53.0637294024978","53.0136813404865","52.9457594040447","52.8601692664651","52.7700211190925","52.6779794130184","52.5828607816522","52.4882800757394","52.3931124359476","52.2951734008137","52.1827721532325","52.0560547066565","51.9268353775889","51.8280452965857","51.7753439602233","51.736718520748","51.6864415647921","51.6500022211356","51.6520838672696","51.6582210419933","51.6750203976138","51.7043018723552","51.7480178295633","51.8439035089456","51.9904410584205","52.1616511092688","52.2647522313546","52.2595138712764","52.2261744835688","52.1986085893896","52.1734022678104","52.1495718982214","52.1334449322435","52.1282922517381","52.2416751016495","52.3853584911528","52.4219706085342","52.4646946245215","52.5833016187107","52.7481409846277","52.9136125473243","53.0871534108214","53.2592157745874","53.4198162684278","53.5681444121515","53.6960558335169","53.8099505519173","53.9144591240952","54.0070560740586","54.0942051366549","54.1890240076649","54.2926642555342","54.3943027581894","54.499252813536","54.6164675777501","54.7527107127314","54.8853835968427","55.0188969036926","55.1745777387524","55.3486996921998","55.5493222102221","55.7744403195759","56.0142996837981","56.265297400666",
"Afghanistan","AFG","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","54.2368627659074","54.2599965846051","54.3019902789099","54.3279081380867","54.2890541579871","54.1284726350521","53.8938525038343","53.6630961625539","53.4378896932543","53.2173196591489","53.0049233066543","52.8014440285388","52.6047224018523","52.4149895390239","52.2293823336986","52.0504792319378","51.8791819818152","51.713163609496","51.5636098885381","51.4419481458324","51.3397902769757","51.2494626750404","51.1942727421776","51.1802045866945","51.211834310898","51.2788098924561","51.3034845686024","51.2838927542139","51.235206297228","51.1524320571168","51.0421948638797","50.8961353410121","50.7296765425622","50.5375337190696","50.3015858452429","50.0379781802305","49.7530840843555","49.4644558430313","49.1883345659403","48.9338862303383","48.7186638432056","48.5563146790323","48.4563143447852","48.4128458156626","48.4273351110807","48.7076274790682","49.0679711974258","48.5824313412201","48.3540221462971","48.8799030163055","49.181607385893","49.8320809323462","50.6088685798115","51.1208485045483","51.7118322101076","52.1226988032379","52.3704150541153","52.7498021257446","53.1415902086801","53.5377273073187","54.0093869635419","54.3955155319838","54.6907085137461","54.9651343472103",
"Africa Western and Central","AFW","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","55.3682302391305","55.2666842147301","55.1424754829844","54.9709960978197","54.7302175064585","54.5192500779079","54.375946028848","54.245027346","54.1231810821274","54.0006344777263","53.8811955886466","53.7506307383204","53.60967784501","53.4730907980538","53.3350525323238","53.191474710302","53.0547246828155","52.9320920465727","52.8034391623442","52.6658731289305","52.519079676882","52.3659317261334","52.2219534719033","52.0679922589184","51.8831473401687","51.7080582905551","51.5806897991411","51.5080393911474","51.5140911321859","51.5593340435397","51.60851116841","51.6886267635977","51.8044643843971","51.9451289197556","52.0955625585786","52.2584484145138","52.4185549267169","52.5651832502957","52.7162954928383","52.8430305499724","52.9246973680915","52.9680946042337","52.9952314279906","53.026381150652","53.0578400835754","53.0748513485304","53.0713427709153","53.0614892807105","53.0509660697736","53.0404414074736","53.0287378216661","53.0118825922099","52.9887073899058","52.9867181864932","53.0373024000449","53.1205466171718","53.2271361752686","53.3655266454997","53.524270080643","53.6965695409532","53.8980532901657","54.1238249817705","54.3620043764064","54.6191108491557",
"Angola","AGO","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","55.5225226001216","55.0377912689883","54.5223037460128","53.9814561969121","53.3918641906812","52.8604348314635","52.424258494693","52.0224719884683","51.6587093333259","51.3275379158102","50.9246033526363","50.5989305782576","50.5506727820253","50.6430621664514","50.7638729344412","50.8976533379878","51.0392988764917","51.2049217528612","51.3890416902325","51.5646754005072","51.7393726683389","51.8980173642907","52.0294010859754","52.1454643373888","52.2240228178091","52.2368447664054","52.1781345617875","52.0852904030459","51.9960921371706","51.9098084502569","51.8316719679083","51.7368078173794","51.6506357727907","51.5923656334959","51.5441074269151","51.514024150602","51.5032466644794","51.5198335660162","51.5698363145034","51.6386320238248","51.7161039013832","51.7975724214265","51.8756330514012","51.94275523616","51.9977276108379","52.0387052792294","52.065041701151","52.0796527401692","52.0759442442593","52.0606047315455","52.0489909777505","52.0477711536195","52.0490762381279","52.0508981499385","52.062851640522","52.0825352397257","52.1297921589274","52.2093807531189","52.3000906081893","52.4098055820106","52.5199782070706","52.6481650752559","52.8105597995091","52.9928434439443",
"Albania","ALB","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","52.9621448327358","52.562703523127","52.1819574568381","51.8652114330462","51.6433883423614","51.5749873798268","51.6523912255158","51.8058948337521","52.0259933446356","52.3079793127067","52.6538157792287","53.0594438162575","53.5114402968412","54.0179592817604","54.5809307262337","55.1801941245391","55.8060040778544","56.4535515933641","57.1082805070444","57.7570855036127","58.3661661580388","58.9129697484202","59.3958714622163","59.8115919531116","60.1573330094344","60.4337329488974","60.6571437742753","60.8357848564075","60.9653031683811","61.0584903088726","61.1300901083513","61.1957857624268","61.2538107959336","61.30934311429","61.3724051787378","61.4512260729434","61.5867459833052","61.8142975423229","62.1302039053666","62.5085316734703","62.9247227518326","63.3615668435112","63.8081252313391","64.2576319040056","64.7213710569494","65.2132223510324","65.7309345225222","66.2711193343594","66.8028072608016","67.3106685371718","67.7699370314533","68.1356161822335","68.3840417249696","68.506909249363","68.5466621166916","68.5230408467747","68.4107619122542","68.28257311668","68.1414385250354","67.9108039448215","67.6538633706457","67.3663084293668","66.9937855715045","66.5787113407501",
"Andorra","AND","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","65.9100642398287","65.9840954274354","66.0372118855873","66.0038042538475","65.8271924852215","65.6884360982285","65.3974806063625","64.8132231404959","64.3452672878862","64.206684156496","64.3434773356033","64.6163790960171","64.9883558453656","65.4264853757706","65.843232356447","66.2250629478985","66.583714547118","66.9301164725458","67.2609240097542","67.6293849299984","68.2055617621305","69.0013385322703","69.545846907805","69.8420690020669","70.2712285055841","70.8486277560347","71.2207065407485","71.3265169442336","71.4374437829271","71.566850646676","71.7343818261249","71.9986965439246","72.2934828881855","72.5159697246229","72.6696566174306","72.7470978997517","72.6390621921587","72.3636599652761","72.0461511305101","71.7309157881367","71.44945303659","71.4244172699307","71.6442657588919","71.8745155516721","72.1531009592554","72.5413864967953","72.634567547504","72.440777498771","72.3479864907022","72.2916955497019","72.3829944337158","72.2882934517839","71.8952387730411","71.5968123204099","71.4444788994446","71.3642883257868","71.3303167420814","71.5373115905257","71.799418014482","71.8624588349799","71.7509748060235","71.570972371262","71.371484194887","71.1573306112032",
"Arab World","ARB","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","53.3706138589701","53.128062532718","52.9166530935597","52.7190766557625","52.5401715467187","52.3755466631575","52.2272143936263","52.1090522700363","52.0357590150155","51.9925387623957","51.9557915214672","51.9240768554845","51.8908786085551","51.8657989793505","51.8779226411844","51.8848912738351","51.8817315530392","51.923109785094","51.9910945182707","52.0658654625981","52.1508468033548","52.2430544127953","52.3395230716362","52.4283850380926","52.5126247241466","52.6014931531812","52.6883108787256","52.782220113564","52.9116823998125","53.0746555318015","53.2403602560888","53.4971118761398","53.7961662056178","54.1219942856253","54.4793850346507","54.8723076839025","55.3090324092146","55.78683740608","56.2778257078118","56.7711650199738","57.2683362805595","57.7583450260491","58.2303194645199","58.6850704274397","59.1285885722494","59.5810469467896","60.0699426801204","60.5656469942649","60.9558194026228","61.2426245222691","61.4375308620517","61.4863035707858","61.4438964686632","61.3432207982191","61.2186982315132","61.1070394973725","61.0461516609427","61.0545595968587","61.1084172032876","61.1903632830484","61.2496965347519","61.3326402570736","61.5112780075159","61.7497316483467",
"United Arab Emirates","ARE","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","54.4757301954192","54.4130514035727","54.2588779118769","54.0495525356314","53.8217517878615","53.5618177969945","53.2237317531435","52.796095834543","52.5695958948044","52.6107140394825","52.6894508322355","52.8075898189837","52.9940739269338","53.2621931799873","53.5305932460588","53.6811290252108","54.0103438869187","54.3556457852775","54.3978737236606","54.2698547449181","54.1084110029177","53.9807617596304","53.9393198112832","54.0059807511127","54.1558009145859","54.3841265000633","54.296942446588","54.1127114321217","54.3215943070129","54.8229371794958","55.5294783832083","56.3649035691606","57.2682302526567","58.2088927182416","59.1902351225047","60.2312489627368","61.046974725402","61.794806177148","62.8292708517909","64.0066011657054","65.1978254784049","66.2942745805831","67.2378310157023","68.031459537844","68.7146803076422","69.5353534591527","71.0875966351818","73.1531282810416","74.9284002579263","76.0536424897893","76.3451217714736","76.1711313667888","75.9596611410257","75.6900113024709","75.3701778000512","75.0275689203625","74.693306439433","74.37888924143","74.0750231874522","73.76591672074","73.496885847235","73.3169885817481","73.2705936594324","73.3578007861154",
"Argentina","ARG","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","63.6473770634867","63.6760431884877","63.7045772377543","63.7242515083579","63.7259246111881","63.7207820629775","63.7197536867932","63.7145917798504","63.7041702932881","63.6802559342692","63.6282996023755","63.5445477307969","63.439148846606","63.2898679224809","63.0760695474134","62.826504297141","62.5496506668136","62.2497650225379","61.9449249751517","61.6455557061201","61.3633212031714","61.1101870503478","60.8964140585091","60.7210077694136","60.5818822222777","60.4808090533207","60.4177998877295","60.3870727901955","60.3851663677866","60.4126113073066","60.4482820557639","60.4800496585041","60.5234015903561","60.581810976258","60.6543228336015","60.7463427341482","60.8589660281649","60.9902784697709","61.1287153899139","61.2595874901829","61.3860181581422","61.5207585597216","61.6611011717042","61.819194738222","61.9855847311187","62.1437339686949","62.3036469175546","62.4678735620784","62.6342766111863","62.7901782613633","62.9229324381848","63.0175646664272","63.0656081889814","63.0893157930711","63.1205612639237","63.1497965315999","63.1787960700597","63.2230766525384","63.2901659120952","63.381661329267","63.5082155327598","63.6764031919867","63.8483416298585","63.9985595438657",
