"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","4.35498504654054","4.50994551303092","4.69295410471881","4.87207230142566","5.04322766570605","5.22243117427629","5.42910900704054","5.68535825545171","6.01104250771788","6.38122198631753","6.77757239679606","7.2054698457223","7.57593255572237","7.87141566945134","8.14340307370852","8.39494267652416","8.67048995731532","8.95253766647812","9.20093173992303","9.38882639670041","9.55787701752649","9.8680972536667","10.2028858126419","10.3692084942085","10.4324788772734","10.4090361303433","10.3466054228867","10.3362303982105","10.3522695627959","10.2939819088056","10.1298464206659","9.90950631663829","9.70392591626451","9.56877820491392","9.50529964535455","9.4786365818531","9.46505846607126","9.50896336710834","9.60552403090176","9.72766506275113","9.90918588764767","10.2179428589439","10.5984979241498","10.9707559202742","11.36425813904","11.7756784403394","12.163913425588","12.5363270243557","12.9246234092603","13.3498306850742","13.7981367792899","14.2998599578459","14.8917081376603","15.5546271151034","16.2791342567558","17.0831892676855","17.9646922311858","18.9044009003411","19.9201591292096","20.9963920874746","22.0601072452924","22.9744728079911","23.8721778395276","24.9968603921021",
"Africa Eastern and Southern","AFE","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","5.6269436042052","5.59877578725878","5.57171847026883","5.54970167120037","5.53423572284971","5.52634769523306","5.52544596920676","5.53163221581372","5.54377460624666","5.55847688073291","5.57569510489974","5.59642490139378","5.61736664311406","5.63582025488913","5.64869313237369","5.65803355545671","5.67240733719126","5.68652509559397","5.69941538782118","5.71621704312142","5.71924769018413","5.71711368176861","5.71938738421461","5.70768548815912","5.68974330194037","5.67846594749437","5.66702670490364","5.66587234202563","5.66005276787583","5.64301771019815","5.63253104272149","5.63000637604378","5.63148763460874","5.6271533154585","5.60109811815051","5.56731953122767","5.55216740160901","5.53774852364901","5.51080670101615","5.48282788421186","5.46284227621415","5.44534806738491","5.42774014365756","5.40949190060546","5.3934918059093","5.38326126192335","5.37532785104463","5.36821035349337","5.36226033725064","5.3634266125632","5.37802691968167","5.40489655566481","5.43879946635491","5.47361175756582","5.50991761850398","5.54414747774553","5.58459980363562","5.63177710618492","5.67701712388147","5.71842422318594","5.73311054063037","5.70619942558857","5.66235268493612","5.64167764563511",
"Afghanistan","AFG","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","5.10090106306272","5.0780879187975","5.04955848118009","5.02202041582739","4.99971912996147","4.98528747223266","4.97916240049894","4.97693072124635","4.97600022799378","4.97450819661975","4.97039242726552","4.96778143354792","4.96503350660163","4.95939058264066","4.95623636585861","4.95679579912677","4.96222756254984","4.9653201983572","4.95699441519781","4.93479548171237","4.90178805925542","4.86583905226376","4.81552805423695","4.75512596833248","4.67475691421138","4.57609191394217","4.50839090614845","4.47385327437197","4.45740190839542","4.4621997153895","4.46823075602694","4.48237629793612","4.51465299891804","4.55442465309297","4.59335353623008","4.62865092123161","4.66324767965345","4.69386358487807","4.71849283616322","4.74146728574658","4.76031425052708","4.77509788390734","4.79160890998551","4.8045480514462","4.80658015849554","4.78196430833589","4.75041108414386","4.80368082517761","4.84938836824856","4.83045370131956","4.83473020936816","4.80914881099728","4.76723712274108","4.73748747700863","4.69079678722919","4.6442456380075","4.60635088670088","4.57268660954771","4.55160703424134","4.53690097986338","4.4945527274917","4.43787182461417","4.39530015497943","4.37390804047101",
"Africa Western and Central","AFW","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","5.96230273839649","5.98380882333439","6.02209355497015","6.06187082114656","6.10279766473248","6.13166269268161","6.14485009651178","6.14747916803081","6.14645601817747","6.14691480437731","6.14210318003713","6.13046513863155","6.12043836074984","6.11667024547978","6.11836449042553","6.12495803243328","6.13937384205691","6.15876347757742","6.17866925050543","6.19781329295031","6.19931429109464","6.18997049179169","6.19220103037236","6.20218863940015","6.21920377007903","6.23971348334492","6.25335130087133","6.26021297827673","6.25946273650306","6.25182921931339","6.24127149621416","6.22272996239406","6.19283916577163","6.15730372376578","6.11640386751888","6.07055835097578","6.02564818119735","5.98297302068139","5.9381970944441","5.89430534233219","5.85597363363416","5.82383504038414","5.79644548013891","5.77045637384444","5.74306374654292","5.71720146656518","5.69631172307048","5.67821761418105","5.6627513907711","5.6504514140308","5.63915790747149","5.62483111221545","5.60632399416941","5.57374386723284","5.51992116730695","5.47653435510672","5.45287144428005","5.43269882188918","5.41843841270947","5.41072397825298","5.38630996805807","5.33700290542415","5.29982718151313","5.28961481462189",
"Angola","AGO","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","5.63251816272394","5.71143338249721","5.77423390927574","5.83405397932814","5.89263850858759","5.93828875343524","5.96549551566572","5.97728251431315","5.97080244336704","5.9436507766298","5.90244382757245","5.83852029231906","5.73536974476247","5.60909166439753","5.47836046739709","5.34364790452014","5.20658703879543","5.0672269389718","4.92935976911763","4.80065225190598","4.679352094712","4.56849661543191","4.4709979383022","4.37919979519105","4.29587890147974","4.2294317440388","4.18026282128257","4.13901525589884","4.104983809537","4.08710873503526","4.08381560501002","4.10468887291317","4.14077516486579","4.18755470766975","4.25406343598981","4.33198495052081","4.41611801179396","4.50332424267487","4.58657320514294","4.66786519472542","4.74573383806885","4.81819852655219","4.88455022107381","4.9432704966013","4.99083459880497","5.02237866230171","5.04034418374995","5.0467256659786","5.04552028737612","5.03995661816025","5.03076696433558","5.01761691402477","5.00279233195218","4.98077448037656","4.94741317021014","4.92675431399285","4.92086089209333","4.9200229122081","4.9321872544942","4.95399460499937","4.97083201807665","4.96773378687163","4.96337945822142","4.99269021162501",
"Albania","ALB","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","10.2652447742664","10.2237836058503","10.2108412359062","10.1912007781477","10.138522538974","10.0255828198753","9.85161427323648","9.64198159251866","9.42198944788444","9.2146857203746","9.03594053484766","8.89161902923006","8.78072680163656","8.69561742416371","8.62517129997843","8.56276035596675","8.49955926766181","8.43411875167665","8.36590642491547","8.29570310322325","8.24910920662463","8.23298346026503","8.24097877825545","8.28189468476374","8.36047280894283","8.47298313906082","8.60942909147147","8.76450012124709","8.93383666847168","9.11097383271617","9.3000260880672","9.51169214704026","9.7568116771894","10.0345275685996","10.3408105231305","10.67097492583","11.0153742618166","11.3662176219035","11.7223806689802","12.0919129111331","12.4883578855749","12.9278412538704","13.4161682650663","13.939020136144","14.4748914746603","14.9977173944788","15.489427426552","15.9625519232027","16.4138466528912","16.829934444534","17.2304843505071","17.6471334940562","18.102311133805","18.6073865092055","19.1801991619728","19.814720787673","20.4754035794122","21.1298069926671","21.8173449701801","22.6083501468061","23.368744938597","24.0564322403087","24.7851525562841","25.5923917690041",
"Andorra","AND","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","10.2699249321195","9.73228812305872","9.14089347079038","8.61096873398257","8.24149496885481","8.01077078424773","7.85301837270341","7.82090135888161","7.87515877336237","7.94852384557154","8.00810158136636","8.03030303030303","8.03959601364457","8.0762306785027","8.15289566372192","8.30414398879129","8.48013729746101","8.6746073174204","8.92353178336245","9.24219910846954","9.60048426150121","9.95426419155233","10.2200739682888","10.4234300275771","10.6578684263147","10.941483936767","11.2563212087979","11.6142362424701","12.046783625731","12.5330484710909","13.0419158602634","13.3801250525171","13.5867492850334","13.8462955288484","14.1456457794812","14.4940688403449","15.0275139694478","15.7220587301251","16.401334403108","17.0465077091583","17.6622612569075","17.7189784759057","17.2653579451118","16.8756530825496","16.5241147795654","16.1820610294873","16.0002043666337","15.8926692388636","15.66230248307","15.3260626814561","14.8581737227958","14.8508102212527","15.433083116176","16.1194435809761","16.8193107730518","17.5069295032079","17.9855425383008","18.2813468291675","18.6612650768806","19.0975296817681","19.5879950275262","20.079703558694","20.7203926261207","21.5847041897069",
"Arab World","ARB","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","6.57798532960439","6.64915334361603","6.73676702225322","6.81297481080243","6.87584179029871","6.92858684446139","6.95567167633902","6.95536608836384","6.94410709074566","6.92350740754334","6.89752551220724","6.86916253581659","6.83984153228406","6.80678933114724","6.76360178141989","6.7360154662945","6.7351039113566","6.70515191382174","6.63581413055166","6.56429989949153","6.49748471151241","6.43133889787777","6.36598376724137","6.30721972531638","6.26550539847452","6.23876535847502","6.22539904933102","6.22183661627222","6.21728877415852","6.21784580170692","6.21773874825515","6.2313970994765","6.23601527709021","6.23904075901324","6.23772572264698","6.23473721370522","6.25791708614653","6.3057700476774","6.32163082344842","6.30458219673935","6.27995575239571","6.25064968139776","6.2203978244187","6.18375073969715","6.1405184109542","6.0815209225118","5.99856379674344","5.90790489720973","5.83648875143852","5.79490871563303","5.79580540978381","5.85096166757925","5.93765876178402","6.03990626550959","6.15106787123626","6.26831619212666","6.39060642863966","6.52419869518265","6.67103562856093","6.82660882514592","6.99140851692453","7.14443368453384","7.27801082080313","7.42297479610128",
"United Arab Emirates","ARE","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","3.89592284197052","3.64702821598354","3.42858407667279","3.23677071314977","3.05821484914701","2.89962549593978","2.75663642842688","2.62172284644195","2.48833015458371","2.39472671403175","2.35491839792654","2.34403127089441","2.34943011619565","2.37930799684834","2.44542265194167","2.57158130193115","2.5122500119707","2.28204779877186","2.07768042696272","1.8840490797546","1.7123339658444","1.65292227259479","1.67783056593559","1.69335716204693","1.69889869265743","1.69913562838411","1.67352653622856","1.62471571931457","1.57711260222269","1.53299708050941","1.49393743054611","1.46181267615145","1.43757942059009","1.41962857516524","1.40375813100039","1.38345659864282","1.34484212929638","1.29237828568564","1.24261500856787","1.20047896738916","1.16679505817703","1.1386234408026","1.11118393911236","1.08019037609391","1.04218562202415","0.96379704588926","0.772600985788343","0.519465841494678","0.315508710030107","0.199773990122035","0.204450212873666","0.289137439984211","0.387651995551778","0.502447829633953","0.636455325013541","0.792826684316406","0.975777747754205","1.191323184624","1.44767753596793","1.75503832836371","1.98307089262202","2.1160582347121","2.20518371550354","2.24988537867869",
"Argentina","ARG","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","8.11480590658234","8.33268000498781","8.54867104811578","8.76332519088029","8.98044545858976","9.19925272039274","9.42523680910109","9.65436849090802","9.87321241956308","10.0736685215875","10.275837429786","10.4784917969991","10.6694905155164","10.8635616995393","11.0657649977999","11.2852759724273","11.5207667355999","11.7690763907599","12.0267529686034","12.2735676992682","12.4993611721997","12.7054250776925","12.8871023945728","13.0491677478623","13.2012506141124","13.353677381786","13.5192481597744","13.6976179698632","13.887320052962","14.0844999886808","14.2859601057883","14.5012085616367","14.7178441143347","14.9138645948749","15.0948109993798","15.2533840857786","15.3828334455061","15.480292231615","15.5562413313973","15.6278173459838","15.6930390460489","15.7522514975543","15.8114088046499","15.8518786227603","15.895176894151","15.9676176971988","16.0532875790374","16.1336973953447","16.2218356832858","16.3403602427859","16.4672062333752","16.6106018126179","16.7881375330456","16.9753865156087","17.1500457105384","17.320406917436","17.4756701525715","17.6314486904682","17.8092816371001","17.9966224135175","18.1494169514824","18.2376748640653","18.3278989646123","18.4945013325013",
