country name,year,population growth,rural population growth,"population, total",population ages 0-14,gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Kyrgyz Republic,1992,1.1538161192326,1.61191403030113,4515400.0,38.0803861674716,-13.8378377984379,7.1,4.87055900687352,68.1024390243903,62.797,75.287743406135,57.0490548256549,52.5964546402503,6.88216892596455,37.203,-65295.0,3.52,28.2,58.134
Kyrgyz Republic,1993,0.028786218243318,0.48160429115147,4516700.0,38.4006929578458,-15.4593282242512,7.6,4.94883845370304,67.1926829268293,63.082,76.5210268210973,56.6504685884511,52.7632950990615,7.04900938477581,36.918,-103695.0,3.2,25.7,65.185
Kyrgyz Republic,1994,-0.0354303686250107,0.415319700616031,4515100.0,38.5400498731542,-20.0851588393243,8.2,5.02920560167534,66.0390243902439,63.367,77.2083731536301,56.4307445251705,53.8529718456726,7.05943691345151,36.633,-22162.0,2.9,24.3,63.957
Kyrgyz Republic,1995,0.998300395950931,1.4454894027462,4560400.0,38.4376571863192,-5.4238219222602,8.0,5.094870917942,65.790243902439,63.651,77.0930779378077,56.4674718957388,54.9374348279458,7.06986444212722,36.349,-17460.0,3.1,25.6,61.643
Kyrgyz Republic,1996,1.48008970426178,1.92371462653169,4628400.0,38.2164580737306,7.08450239536558,7.4,5.12173248746139,66.5439024390244,63.934,76.4857285031468,56.661809438808,55.4796663190824,7.07507820646507,36.066,-9253.0,2.8,23.2,59.606
Kyrgyz Republic,1997,1.45850217538744,1.89705490627194,4696400.0,37.8038112555626,9.91525389550945,7.3,5.12427649414801,66.8926829268293,64.215,75.2175575723093,57.0719122502894,55.5839416058394,7.08029197080292,35.785,-3550.0,2.6,21.6,50.871
Kyrgyz Republic,1998,1.53403815421676,1.97067678366463,4769000.0,37.2544531793174,2.12183528473682,7.2,5.11033203708248,67.0512195121951,64.496,73.5050605339474,57.6352147836001,55.7351407716371,7.09071949947862,35.504,-2405.0,2.7,21.7,44.692
Kyrgyz Republic,1999,1.48607226256731,1.80188596481245,4840400.0,36.6003192105779,3.655789399748,6.8,5.0808571830886,68.6560975609756,64.7,71.4712433896922,58.3188236063335,55.9228362877998,7.13242961418144,35.3,-7985.0,2.6,21.5,39.752
Kyrgyz Republic,2000,1.19112592398474,1.19421800017138,4898400.0,35.8911687552759,5.44333663288322,7.0,5.06030983254518,68.5585365853659,64.702,69.3522373724819,59.0485214121789,55.8602711157456,7.06986444212722,35.298,-21139.0,2.4,19.8,36.096
Kyrgyz Republic,2001,0.948856613551314,0.951955841812372,4945100.0,35.1391283330697,5.32162141190466,6.6,5.07593782043921,68.7073170731707,64.704,67.2662083428465,59.7849338464911,56.1835245046924,7.00729927007299,35.296,-24266.0,2.4,19.8,32.359
Kyrgyz Republic,2002,0.917899316903102,0.919415832210489,4990700.0,34.3378575933852,-0.0173246130360667,7.1,5.12186914463663,68.1560975609756,64.705,65.1792904110469,60.5402732619782,56.1835245046924,7.01251303441084,35.295,-25320.0,2.4,20.2,31.728
